stitle,xpostDate,xbody,xcreatedDate,xAddress,GTag_longitude,GTag_latitude
垃圾清運點：臺北市松山區南京東路五段202號(珍珠城),2010/11/8 下午 06:23:00,車號：86-966，車次：第2車，時間：21:15~21:25,2012/3/1 上午 06:48:00,臺北市松山區南京東路五段202號(珍珠城),121.564769,25.051186
垃圾清運點：臺北市松山區南京東路四段118號,2011/3/8 下午 04:14:00,車號：90-922，車次：第1車，時間：17:15~17:40,2012/3/1 上午 06:48:00,臺北市松山區南京東路四段118號,121.555174,25.050188
垃圾清運點：臺北市松山區光復南路34號,2011/3/8 下午 04:20:00,車號：90-922，車次：第2車，時間：20:52~20:57,2012/3/1 上午 06:48:00,臺北市松山區光復南路34號,121.557655,25.046503
垃圾清運點：臺北市松山區敦化北路118號(中國信託旁),2011/7/12 上午 09:48:00,車號：92-976，車次：第1車，時間：18:05~18:10,2012/3/1 上午 06:48:00,臺北市松山區敦化北路118號(中國信託旁),121.548579,25.053798
垃圾清運點：臺北市松山區塔悠路351號(撫遠抽水站),2011/7/13 上午 11:39:00,車號：95-701，車次：第1車，時間：17:00~17:20,2012/3/1 上午 06:48:00,臺北市松山區塔悠路351號(撫遠抽水站),121.5686642,25.0618264
垃圾清運點：臺北市信義區基隆路二段34號,2010/11/8 下午 06:23:00,車號：80-343，車次：第1車，時間：18:45~18:50,2012/3/1 上午 06:48:00,臺北市信義區基隆路二段34號,121.55848,25.031493
垃圾清運點：臺北市信義區松德路46號前,2011/7/26 上午 10:45:00,車號：80-350，車次：第3車，時間：20:47~21:00,2012/3/1 上午 06:48:00,臺北市信義區松德路46號前,121.576554,25.0389709
垃圾清運點：臺北市信義區松勤街50號前(莊敬路松勤路口),2011/7/22 下午 06:11:00,車號：80-576，車次：第2車，時間：21:20~21:28,2012/3/1 上午 06:48:00,臺北市信義區松勤街50號前(莊敬路松勤路口),121.5617917,25.0319652
垃圾清運點：臺北市信義區莊敬路341巷口,2010/11/8 下午 06:23:00,車號：88-979，車次：第1車，時間：19:05~19:30,2012/3/1 上午 06:48:00,臺北市信義區莊敬路341巷口,121.564895,25.028547
垃圾清運點：臺北市信義區基隆路一段37巷47號,2011/6/8 下午 07:04:00,車號：88-980，車次：第2車，時間：18:11~18:24,2012/3/1 上午 06:48:00,臺北市信義區基隆路一段37巷47號,121.5685874,25.0478055
垃圾清運點：臺北市大安區復興南路二段208號前,2010/12/3 上午 09:49:00,車號：92-966，車次：第3車，時間：22:11~22:15,2012/3/1 上午 06:38:00,臺北市大安區復興南路二段208號前,121.543155,25.026594
垃圾清運點：臺北市大安區通化街167號前,2010/11/8 下午 06:23:00,車號：92-967，車次：第2車，時間：19:05~19:35,2012/3/1 上午 06:38:00,臺北市大安區通化街167號前,121.553951,25.02927
垃圾清運點：臺北市大安區復興南路一段217號,2011/7/20 上午 10:21:00,車號：92-968，車次：第1車，時間：17:20-17:25,2012/3/1 上午 06:38:00,臺北市大安區復興南路一段217號,121.544031,25.039137
